Materials,Predictions,Experiments,First ionization energy difference,Pauling electronegativity difference,Average lattice size,Lattice size difference,Fermi level difference
(CaScLaCeHo)B6,Single,--,6.334881658,10.58764647,4.1226,0.867095716,21.21710847
(CaScLaCeYb)B6,Single,--,6.590604879,10.52811013,4.1294,0.77834406,28.49481453
(CaScLaPrNd)B6,Single,--,7.243952479,10.28928654,4.1334,0.786720437,20.03679015
(CaScLaPrSm)B6,Single,--,6.945080562,10.26216438,4.1304,0.799262174,20.1513402
(CaScLaPrEu)B6,Single,--,6.889688605,10.33964045,4.1374,0.81112533,26.24131572
(CaScLaPrGd)B6,Single,--,6.712177182,10.33964045,4.1272,0.840648494,20.03770504
(CaScLaPrTb)B6,Single,--,6.597312436,10.49195892,4.126,0.862902827,20.04147934
(CaScLaPrDy)B6,Single,--,6.597312436,10.44680957,4.1256,0.871063866,20.06242651
(CaScLaPrHo)B6,Single,--,6.606802589,10.51625,4.1248,0.888441104,20.10025918
(CaScLaPrEr)B6,Single,--,6.665693706,10.59584577,4.1242,0.902358051,20.09541671
(CaScLaPrYb)B6,Single,--,6.874364279,10.49195892,4.1316,0.791072248,26.81240229
(CaScLaNdSm)B6,Single,--,6.766111764,10.217957,4.1284,0.785435412,20.16935623
(CaScLaNdEu)B6,Single,--,6.707372834,10.28719579,4.1354,0.807762039,26.22831809
(CaScLaNdGd)B6,Single,--,6.488592699,10.28719579,4.1252,0.822975227,20.05943952
(CaScLaNdTb)B6,Single,--,6.386392855,10.46767291,4.124,0.84403601,20.06305148
(CaScLaNdDy)B6,Single,--,6.386392855,10.3891522,4.1236,0.851829923,20.08316886
(CaScLaNdHo)B6,Single,--,6.389743525,10.45608964,4.1228,0.868518042,20.11972173
(CaScLaNdYb)B6,Single,--,6.648103684,10.46767291,4.1296,0.778908862,26.79879189
(CaScLaSmEu)B6,Single,--,6.350249824,10.19970411,4.1324,0.82427393,26.21464012
(CaScLaSmGd)B6,Single,--,6.0284993,10.19970411,4.1222,0.817549817,20.17009566
(CaScLaSmTb)B6,Single,--,5.959906668,10.46538524,4.121,0.83624297,20.17315851
(CaScLaSmYb)B6,Single,--,6.179638579,10.46538524,4.1266,0.783082987,26.78253954
(CaScLaEuGd)B6,Single,--,5.935443155,10.21612938,4.1292,0.868793585,26.22792439
(CaScLaEuTb)B6,Single,--,5.875356736,10.56605837,4.128,0.891920388,26.22638162
(CaScLaEuYb)B6,Single,--,6.08420214,10.56605837,4.1336,0.814605689,30.95761748
(CaScCePrNd)B6,Single,--,7.341964571,10.1407859,4.1266,0.679147543,16.74779167
(CaScCePrSm)B6,Single,--,7.053169365,10.09704945,4.1236,0.675997604,16.77332804
(CaScCePrEu)B6,Single,--,6.999996916,10.15928025,4.1306,0.729764587,22.82868308
(CaScCePrGd)B6,Single,--,6.851594347,10.15928025,4.1204,0.706504775,16.74770069
(CaScCePrTb)B6,Single,--,6.727108246,10.36682913,4.1192,0.726254663,16.74740975
(CaScCePrDy)B6,Single,--,6.727108246,10.25723251,4.1188,0.733753676,16.747889
(CaScCePrHo)B6,Single,--,6.741061809,10.32237457,4.118,0.750045906,16.75519259
(CaScCePrEr)B6,Single,--,6.803656745,10.39788467,4.1174,0.763343908,16.75390355
(CaScCePrYb)B6,Single,--,7.016397407,10.36682913,4.1248,0.673500988,23.43897351
(CaScCeNdSm)B6,Single,--,6.879527321,10.04700489,4.1216,0.647147531,16.76098609
(CaScCeNdEu)B6,Single,--,6.823148974,10.10098863,4.1286,0.714852172,22.78025978
(CaScCeNdGd)B6,Single,--,6.635018574,10.10098863,4.1184,0.673357869,16.74054402
(CaScCeNdTb)B6,Single,--,6.522861918,10.33688496,4.1172,0.692009186,16.7400258
(CaScCeNdDy)B6,Single,--,6.522861918,10.19375073,4.1168,0.699201277,16.73934444
(CaScCeNdHo)B6,Single,--,6.530888957,10.25641026,4.116,0.714963021,16.74486207
(CaScCeNdEr)B6,Single,--,6.588808439,10.32951942,4.1154,0.727931743,16.74378454
(CaScCeNdYb)B6,Single,--,6.797060599,10.33688496,4.1228,0.646740884,23.3903184
(CaScCeSmEu)B6,Single,--,6.478588446,9.996712149,4.1256,0.716848778,22.64987033
(CaScCeSmGd)B6,Single,--,6.191592265,9.996712149,4.1154,0.648122482,16.76065028
(CaScCeSmTb)B6,Single,--,6.112064192,10.3181892,4.1142,0.664298502,16.75936684
(CaScCeSmDy)B6,Single,--,6.112064192,10.07273969,4.1138,0.670736367,16.75477223
(CaScCeSmHo)B6,Single,--,6.104866559,10.12726186,4.113,0.685096173,16.75424965
(CaScCeSmEr)B6,Single,--,6.150247159,10.19241495,4.1124,0.697105143,16.75388862
(CaScCeSmYb)B6,Single,--,6.34509317,10.3181892,4.1198,0.632851289,23.25840401
(CaScCeEuGd)B6,Single,--,6.102365847,9.997917317,4.1224,0.750751754,22.77859844
(CaScCeEuTb)B6,Single,--,6.031075816,10.40366531,4.1212,0.771207763,22.77192217
(CaScCeEuDy)B6,Single,--,6.031075816,10.05586236,4.1208,0.778880452,22.7392699
(CaScCeEuYb)B6,Single,--,6.253458715,10.40366531,4.1268,0.712498817,26.81810032
(CaScCeGdTb)B6,Single,--,5.466928243,10.40366531,4.111,0.669357025,16.73986855
(CaScCeGdDy)B6,Single,--,5.466928243,10.05586236,4.1106,0.674635587,16.73914543
(CaScCeGdYb)B6,Single,--,5.424980503,10.40366531,4.1166,0.654457998,23.38864693
(CaScCeTbDy)B6,Single,--,5.494536383,10.51582806,4.1094,0.685281693,16.73841662
(CaScCeTbHo)B6,Single,--,5.441057155,10.58764647,4.1086,0.696390149,16.74360926
